stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,500,0.0500,499,498.51,498.51
0,1000,0.1000,992,985.03,985.03
0,1500,0.1500,1483,1478.77,1478.77
0,2000,0.2000,1970,1966.42,1966.42
0,2500,0.2500,2460,2470.20,2470.20
0,3000,0.3000,2951,2956.39,2956.39
0,3500,0.3500,3437,3429.06,3429.06
0,4000,0.4000,3925,3910.70,3910.70
0,4500,0.4500,4407,4403.01,4403.01
0,5000,0.5000,4892,4872.82,4872.82
0,5500,0.5500,5377,5366.22,5366.22
0,6000,0.6000,5864,5850.62,5850.62
0,6500,0.6500,6351,6363.05,6363.05
0,7000,0.7000,6832,6895.07,6895.07
0,7500,0.7500,7318,7404.04,7404.04
0,8000,0.8000,7801,7872.64,7872.64
0,8500,0.8500,8282,8376.70,8376.70
0,9000,0.9000,8765,8869.25,8869.25
0,9500,0.9500,9238,9341.65,9341.65
0,10000,1.0000,9714,9802.60,9802.60
1,500,0.0500,499,495.42,495.42
1,1000,0.1000,988,981.84,981.84
1,1500,0.1500,1474,1466.74,1466.74
1,2000,0.2000,1963,1961.91,1961.91
1,2500,0.2500,2448,2462.06,2462.06
1,3000,0.3000,2937,2951.60,2951.60
1,3500,0.3500,3432,3435.23,3435.23
1,4000,0.4000,3929,3931.03,3931.03
1,4500,0.4500,4413,4410.86,4410.86
1,5000,0.5000,4904,4897.08,4897.08
1,5500,0.5500,5384,5367.61,5367.61
1,6000,0.6000,5862,5834.91,5834.91
1,6500,0.6500,6345,6320.34,6320.34
1,7000,0.7000,6825,6820.60,6820.60
1,7500,0.7500,7306,7314.72,7314.72
1,8000,0.8000,7786,7804.87,7804.87
1,8500,0.8500,8266,8260.40,8260.40
1,9000,0.9000,8752,8730.65,8730.65
1,9500,0.9500,9226,9221.83,9221.83
1,10000,1.0000,9705,9711.90,9711.90
2,500,0.0500,499,495.42,495.42
2,1000,0.1000,989,990.34,990.34
2,1500,0.1500,1483,1490.81,1490.81
2,2000,0.2000,1970,1983.34,1983.34
2,2500,0.2500,2459,2448.12,2448.12
2,3000,0.3000,2946,2943.22,2943.22
2,3500,0.3500,3431,3436.46,3436.46
2,4000,0.4000,3915,3917.05,3917.05
2,4500,0.4500,4401,4408.24,4408.24
2,5000,0.5000,4887,4902.47,4902.47
2,5500,0.5500,5375,5393.99,5393.99
2,6000,0.6000,5858,5876.37,5876.37
2,6500,0.6500,6340,6333.58,6333.58
2,7000,0.7000,6825,6847.91,6847.91
2,7500,0.7500,7313,7366.37,7366.37
2,8000,0.8000,7794,7827.43,7827.43
2,8500,0.8500,8268,8293.54,8293.54
2,9000,0.9000,8749,8795.53,8795.53
2,9500,0.9500,9230,9315.15,9315.15
2,10000,1.0000,9711,9791.69,9791.69
3,500,0.0500,495,494.38,494.38
3,1000,0.1000,991,990.34,990.34
3,1500,0.1500,1479,1482.06,1482.06
3,2000,0.2000,1971,1975.45,1975.45
3,2500,0.2500,2466,2470.20,2470.20
3,3000,0.3000,2953,2970.76,2970.76
3,3500,0.3500,3440,3443.86,3443.86
3,4000,0.4000,3928,3950.11,3950.11
3,4500,0.4500,4421,4435.75,4435.75
3,5000,0.5000,4900,4907.87,4907.87
3,5500,0.5500,5387,5382.88,5382.88
