stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,5000,0.0500,4892,7052.51,7052.51
0,10000,0.1000,9714,10682.18,10682.18
0,15000,0.1500,14506,15320.31,15320.31
0,20000,0.2000,19313,16387.61,16387.61
0,25000,0.2500,24129,19984.19,19984.19
0,30000,0.3000,28920,20417.84,20417.84
0,35000,0.3500,33691,20417.84,20417.84
0,40000,0.4000,38466,22009.88,22009.88
0,45000,0.4500,43241,38536.06,38536.06
0,50000,0.5000,48041,39617.78,39617.78
0,55000,0.5500,52843,44453.02,44453.02
0,60000,0.6000,57592,44453.02,44453.02
0,65000,0.6500,62361,57025.59,57025.59
0,70000,0.7000,67132,60704.66,60704.66
0,75000,0.7500,71896,69697.94,69697.94
0,80000,0.8000,76670,69697.94,69697.94
0,85000,0.8500,81412,71462.45,71462.45
0,90000,0.9000,86143,71462.45,71462.45
0,95000,0.9500,90878,86854.36,86854.36
0,100000,1.0000,95597,86854.36,86854.36
1,5000,0.0500,4904,4114.82,4114.82
1,10000,0.1000,9705,9316.06,9316.06
1,15000,0.1500,14548,13506.06,13506.06
1,20000,0.2000,19375,22764.25,22764.25
1,25000,0.2500,24193,32633.14,32633.14
1,30000,0.3000,28984,34215.35,34215.35
1,35000,0.3500,33787,51793.88,51793.88
1,40000,0.4000,38579,53766.98,53766.98
1,45000,0.4500,43366,53766.98,53766.98
1,50000,0.5000,48117,63432.96,63432.96
1,55000,0.5500,52885,75273.78,75273.78
1,60000,0.6000,57640,92549.72,92549.72
1,65000,0.6500,62406,95687.00,95687.00
1,70000,0.7000,67188,95687.00,95687.00
1,75000,0.7500,71949,109622.00,109622.00
1,80000,0.8000,76681,109622.00,109622.00
1,85000,0.8500,81423,116402.75,116402.75
1,90000,0.9000,86149,116402.75,116402.75
1,95000,0.9500,90867,116402.75,116402.75
1,100000,1.0000,95633,120760.07,120760.07
2,5000,0.0500,4887,4934.91,4934.91
2,10000,0.1000,9711,7754.85,7754.85
2,15000,0.1500,14509,10815.20,10815.20
2,20000,0.2000,19307,13221.39,13221.39
2,25000,0.2500,24118,14256.40,14256.40
2,30000,0.3000,28907,15858.24,15858.24
2,35000,0.3500,33722,20987.11,20987.11
2,40000,0.4000,38506,20987.11,20987.11
2,45000,0.4500,43295,23425.45,23425.45
2,50000,0.5000,48080,25091.26,25091.26
2,55000,0.5500,52871,31190.79,31190.79
2,60000,0.6000,57641,60704.66,60704.66
2,65000,0.6500,62399,60704.66,60704.66
2,70000,0.7000,67154,60704.66,60704.66
2,75000,0.7500,71941,86854.36,86854.36
2,80000,0.8000,76698,86854.36,86854.36
2,85000,0.8500,81420,86854.36,86854.36
2,90000,0.9000,86156,86854.36,86854.36
2,95000,0.9500,90908,86854.36,86854.36
2,100000,1.0000,95617,86854.36,86854.36
3,5000,0.0500,4900,2970.55,2970.55
3,10000,0.1000,9733,7083.48,7083.48
3,15000,0.1500,14540,16507.41,16507.41
3,20000,0.2000,19364,20234.89,20234.89
3,25000,0.2500,24183,24439.54,24439.54
3,30000,0.3000,28978,24439.54,24439.54
3,35000,0.3500,33759,25778.69,25778.69
3,40000,0.4000,38547,30190.02,30190.02
3,45000,0.4500,43337,30190.02,30190.02
3,50000,0.5000,48093,34215.35,34215.35
3,55000,0.5500,52877,34371.59,34371.59
3,60000,0.6000,57656,50294.28,50294.28
3,65000,0.6500,62407,52152.73,52152.73
3,70000,0.7000,67181,73797.82,73797.82
3,75000,0.7500,71947,73797.82,73797.82
3,80000,0.8000,76694,73797.82,73797.82
3,85000,0.8500,81460,99920.94,99920.94
3,90000,0.9000,86200,99920.94,99920.94
3,95000,0.9500,90948,99920.94,99920.94
3,100000,1.0000,95689,99920.94,99920.94
4,5000,0.0500,4865,4126.85,4126.85
4,10000,0.1000,9683,10302.07,10302.07
4,15000,0.1500,14496,12462.55,12462.55
4,20000,0.2000,19300,14512.94,14512.94
4,25000,0.2500,24093,17697.60,17697.60
4,30000,0.3000,28911,23621.48,23621.48
4,35000,0.3500,33682,26258.29,26258.29
4,40000,0.4000,38461,26258.29,26258.29
4,45000,0.4500,43252,43260.79,43260.79
4,50000,0.5000,48042,46085.99,46085.99
4,55000,0.5500,52803,51090.80,51090.80
