stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,5000,0.0500,4892,4872.82,4872.82
0,10000,0.1000,9714,9802.60,9802.60
0,15000,0.1500,14506,14645.65,14645.65
0,20000,0.2000,19313,19494.86,19494.86
0,25000,0.2500,24129,24303.83,24303.83
0,30000,0.3000,28920,29110.05,29110.05
0,35000,0.3500,33691,34013.67,34013.67
0,40000,0.4000,38466,38868.51,38868.51
0,45000,0.4500,43241,44302.19,44302.19
0,50000,0.5000,48041,48747.41,48747.41
0,55000,0.5500,52843,53398.39,53398.39
0,60000,0.6000,57592,57987.65,57987.65
0,65000,0.6500,62361,62535.35,62535.35
0,70000,0.7000,67132,67428.37,67428.37
0,75000,0.7500,71896,72244.03,72244.03
0,80000,0.8000,76670,77056.62,77056.62
0,85000,0.8500,81412,82005.12,82005.12
0,90000,0.9000,86143,86665.44,86665.44
0,95000,0.9500,90878,91656.82,91656.82
0,100000,1.0000,95597,96238.58,96238.58
1,5000,0.0500,4904,4897.08,4897.08
1,10000,0.1000,9705,9711.90,9711.90
1,15000,0.1500,14548,14562.74,14562.74
1,20000,0.2000,19375,19334.60,19334.60
1,25000,0.2500,24193,24215.91,24215.91
1,30000,0.3000,28984,29169.26,29169.26
1,35000,0.3500,33787,33878.69,33878.69
1,40000,0.4000,38579,38782.95,38782.95
1,45000,0.4500,43366,44500.33,44500.33
1,50000,0.5000,48117,49032.53,49032.53
1,55000,0.5500,52885,53718.84,53718.84
1,60000,0.6000,57640,58192.10,58192.10
1,65000,0.6500,62406,62827.87,62827.87
1,70000,0.7000,67188,67738.96,67738.96
1,75000,0.7500,71949,72395.66,72395.66
1,80000,0.8000,76681,77002.19,77002.19
1,85000,0.8500,81423,81896.29,81896.29
1,90000,0.9000,86149,86798.56,86798.56
1,95000,0.9500,90867,91647.91,91647.91
1,100000,1.0000,95633,96177.24,96177.24
2,5000,0.0500,4887,4902.47,4902.47
2,10000,0.1000,9711,9791.69,9791.69
2,15000,0.1500,14509,14621.22,14621.22
2,20000,0.2000,19307,19282.61,19282.61
2,25000,0.2500,24118,24198.39,24198.39
2,30000,0.3000,28907,29056.94,29056.94
2,35000,0.3500,33722,33894.51,33894.51
2,40000,0.4000,38506,38497.46,38497.46
2,45000,0.4500,43295,44517.54,44517.54
2,50000,0.5000,48080,48885.16,48885.16
2,55000,0.5500,52871,53771.12,53771.12
2,60000,0.6000,57641,58260.37,58260.37
2,65000,0.6500,62399,62766.88,62766.88
2,70000,0.7000,67154,67176.06,67176.06
2,75000,0.7500,71941,71676.70,71676.70
2,80000,0.8000,76698,76685.29,76685.29
2,85000,0.8500,81420,81155.64,81155.64
2,90000,0.9000,86156,86327.07,86327.07
2,95000,0.9500,90908,91231.18,91231.18
2,100000,1.0000,95617,96282.36,96282.36
3,5000,0.0500,4900,4907.87,4907.87
3,10000,0.1000,9733,9809.88,9809.88
3,15000,0.1500,14540,14538.43,14538.43
3,20000,0.2000,19364,19217.85,19217.85
3,25000,0.2500,24183,24137.19,24137.19
3,30000,0.3000,28978,28535.11,28535.11
3,35000,0.3500,33759,33235.18,33235.18
3,40000,0.4000,38547,37819.82,37819.82
3,45000,0.4500,43337,44083.30,44083.30
3,50000,0.5000,48093,48490.15,48490.15
3,55000,0.5500,52877,52960.15,52960.15
3,60000,0.6000,57656,57952.20,57952.20
3,65000,0.6500,62407,62666.48,62666.48
3,70000,0.7000,67181,67120.52,67120.52
3,75000,0.7500,71947,72225.67,72225.67
3,80000,0.8000,76694,77003.49,77003.49
3,85000,0.8500,81460,81496.83,81496.83
3,90000,0.9000,86200,85874.81,85874.81
3,95000,0.9500,90948,90802.94,90802.94
3,100000,1.0000,95689,95951.74,95951.74
4,5000,0.0500,4865,4851.30,4851.30
4,10000,0.1000,9683,9625.30,9625.30
4,15000,0.1500,14496,14352.48,14352.48
4,20000,0.2000,19300,19121.19,19121.19
4,25000,0.2500,24093,23929.08,23929.08
4,30000,0.3000,28911,28834.58,28834.58
4,35000,0.3500,33682,33518.93,33518.93
4,40000,0.4000,38461,38528.93,38528.93
4,45000,0.4500,43252,43898.99,43898.99
4,50000,0.5000,48042,48414.40,48414.40
4,55000,0.5500,52803,53145.45,53145.45
4,60000,0.6000,57598,57754.99,57754.99
4,65000,0.6500,62359,62355.54,62355.54
4,70000,0.7000,67134,67380.34,67380.34
4,75000,0.7500,71901,72406.17,72406.17
4,80000,0.8000,76658,77344.24,77344.24
4,85000,0.8500,81397,82205.66,82205.66
4,90000,0.9000,86152,86804.62,86804.62
4,95000,0.9500,90897,91346.42,91346.42
4,100000,1.0000,95630,96755.11,96755.11
5,5000,0.0500,4905,4922.71,4922.71
5,10000,0.1000,9736,9766.26,9766.26
5,15000,0.1500,14562,14591.95,14591.95
5,20000,0.2000,19384,19570.63,19570.63
5,25000,0.2500,24207,24325.89,24325.89
5,30000,0.3000,29024,28968.80,28968.80
5,35000,0.3500,33803,33799.80,33799.80
5,40000,0.4000,38601,38571.00,38571.00
5,45000,0.4500,43375,43842.25,43842.25
5,50000,0.5000,48159,48647.82,48647.82
5,55000,0.5500,52918,53120.06,53120.06
5,60000,0.6000,57673,57976.73,57976.73
5,65000,0.6500,62442,62757.48,62757.48
5,70000,0.7000,67215,67347.89,67347.89
5,75000,0.7500,71965,71758.29,71758.29
5,80000,0.8000,76702,76263.09,76263.09
5,85000,0.8500,81439,81010.58,81010.58
5,90000,0.9000,86149,85758.87,85758.87
5,95000,0.9500,90900,90832.86,90832.86
5,100000,1.0000,95627,95413.84,95413.84
6,5000,0.0500,4883,4903.82,4903.82
6,10000,0.1000,9713,9713.71,9713.71
6,15000,0.1500,14522,14672.56,14672.56
6,20000,0.2000,19322,19544.23,19544.23
6,25000,0.2500,24137,24485.56,24485.56
6,30000,0.3000,28941,29121.87,29121.87
6,35000,0.3500,33712,33815.55,33815.55
6,40000,0.4000,38488,38507.94,38507.94
6,45000,0.4500,43255,44308.06,44308.06
6,50000,0.5000,48002,49004.15,49004.15
6,55000,0.5500,52765,53640.58,53640.58
6,60000,0.6000,57526,58057.36,58057.36
6,65000,0.6500,62287,62776.10,62776.10
6,70000,0.7000,67037,67733.71,67733.71
6,75000,0.7500,71771,72043.08,72043.08
6,80000,0.8000,76522,76822.52,76822.52
6,85000,0.8500,81254,81694.85,81694.85
6,90000,0.9000,85996,86441.34,86441.34
6,95000,0.9500,90716,90730.88,90730.88
6,100000,1.0000,95444,95425.21,95425.21
7,5000,0.0500,4870,4863.40,4863.40
7,10000,0.1000,9701,9679.37,9679.37
7,15000,0.1500,14511,14443.99,14443.99
7,20000,0.2000,19320,19224.31,19224.31
7,25000,0.2500,24129,23942.01,23942.01
7,30000,0.3000,28906,28892.80,28892.80
7,35000,0.3500,33699,33573.17,33573.17
7,40000,0.4000,38511,38719.08,38719.08
7,45000,0.4500,43281,44345.13,44345.13
7,50000,0.5000,48061,48793.24,48793.24
7,55000,0.5500,52868,53409.56,53409.56
7,60000,0.6000,57632,57962.76,57962.76
7,65000,0.6500,62396,62790.65,62790.65
7,70000,0.7000,67177,67677.21,67677.21
7,75000,0.7500,71917,72489.86,72489.86
7,80000,0.8000,76684,77214.12,77214.12
7,85000,0.8500,81432,81670.85,81670.85
7,90000,0.9000,86164,86819.82,86819.82
7,95000,0.9500,90900,91569.33,91569.33
7,100000,1.0000,95637,96275.73,96275.73
8,5000,0.0500,4875,4872.82,4872.82
8,10000,0.1000,9718,9811.70,9811.70
8,15000,0.1500,14541,14753.56,14753.56
8,20000,0.2000,19353,19577.23,19577.23
8,25000,0.2500,24176,24405.53,24405.53
8,30000,0.3000,28982,29228.68,29228.68
8,35000,0.3500,33779,33870.78,33870.78
8,40000,0.4000,38567,38392.97,38392.97
