stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,25000,0.0500,24129,24303.83,24303.83
0,50000,0.1000,48041,48747.41,48747.41
0,75000,0.1500,71896,72244.03,72244.03
0,100000,0.2000,95597,96238.58,96238.58
0,125000,0.2500,119236,119755.28,119755.28
0,150000,0.3000,142814,143555.96,143555.96
0,175000,0.3500,166327,166736.67,166736.67
0,200000,0.4000,189828,190821.51,190821.51
0,225000,0.4500,213293,215964.42,215964.42
0,250000,0.5000,236750,239627.18,239627.18
0,275000,0.5500,260182,263819.29,263819.29
0,300000,0.6000,283569,285322.21,285322.21
0,325000,0.6500,306916,308407.65,308407.65
0,350000,0.7000,330271,332063.14,332063.14
0,375000,0.7500,353602,355383.44,355383.44
0,400000,0.8000,376984,379834.20,379834.20
0,425000,0.8500,400301,400905.75,400905.75
0,450000,0.9000,423633,426089.22,426089.22
0,475000,0.9500,446921,450891.42,450891.42
0,500000,1.0000,470231,473857.06,473857.06
1,25000,0.0500,24193,24215.91,24215.91
1,50000,0.1000,48117,49032.53,49032.53
1,75000,0.1500,71949,72395.66,72395.66
1,100000,0.2000,95633,96177.24,96177.24
1,125000,0.2500,119288,120908.79,120908.79
1,150000,0.3000,142874,144323.14,144323.14
1,175000,0.3500,166451,168278.36,168278.36
1,200000,0.4000,189940,191465.68,191465.68
1,225000,0.4500,213411,214782.80,214782.80
1,250000,0.5000,236810,238635.39,238635.39
1,275000,0.5500,260190,262124.03,262124.03
1,300000,0.6000,283601,286109.81,286109.81
1,325000,0.6500,306946,310014.22,310014.22
1,350000,0.7000,330230,333742.32,333742.32
1,375000,0.7500,353616,356561.45,356561.45
1,400000,0.8000,376878,379654.83,379654.83
1,425000,0.8500,400178,403829.56,403829.56
1,450000,0.9000,423430,427541.06,427541.06
1,475000,0.9500,446734,449685.41,449685.41
1,500000,1.0000,470037,470499.35,470499.35
2,25000,0.0500,24118,24198.39,24198.39
2,50000,0.1000,48080,48885.16,48885.16
2,75000,0.1500,71941,71676.70,71676.70
2,100000,0.2000,95617,96282.36,96282.36
2,125000,0.2500,119300,121600.19,121600.19
2,150000,0.3000,142937,146400.60,146400.60
2,175000,0.3500,166504,171417.98,171417.98
2,200000,0.4000,189991,194607.69,194607.69
2,225000,0.4500,213512,218152.20,218152.20
2,250000,0.5000,236905,243101.92,243101.92
2,275000,0.5500,260330,266626.83,266626.83
2,300000,0.6000,283711,289158.20,289158.20
2,325000,0.6500,307073,311419.15,311419.15
2,350000,0.7000,330376,333552.69,333552.69
2,375000,0.7500,353745,357925.42,357925.42
2,400000,0.8000,377022,381545.67,381545.68
2,425000,0.8500,400386,404900.74,404900.75
2,450000,0.9000,423702,427814.77,427814.78
2,475000,0.9500,446966,451789.92,451789.92
2,500000,1.0000,470195,474448.36,474448.36
