stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,500,0.0500,499,500.67,500.67
0,1000,0.1000,992,996.40,996.40
0,1500,0.1500,1483,1489.93,1489.93
0,2000,0.2000,1970,2074.83,2074.83
0,2500,0.2500,2460,2633.14,2633.14
0,3000,0.3000,2951,3048.71,3048.71
0,3500,0.3500,3437,3519.44,3519.44
0,4000,0.4000,3925,4008.92,4008.92
0,4500,0.4500,4407,4562.76,4562.76
0,5000,0.5000,4892,5018.68,5018.68
0,5500,0.5500,5377,5596.12,5596.12
0,6000,0.6000,5864,6150.62,6150.62
0,6500,0.6500,6351,6590.58,6590.58
0,7000,0.7000,6832,7127.81,7127.81
0,7500,0.7500,7318,7599.42,7599.42
0,8000,0.8000,7801,8042.35,8042.35
0,8500,0.8500,8282,8645.85,8645.85
0,9000,0.9000,8765,9136.74,9136.74
0,9500,0.9500,9238,9738.15,9738.15
0,10000,1.0000,9714,10240.73,10240.73
1,500,0.0500,499,505.57,505.57
1,1000,0.1000,988,1017.79,1017.79
1,1500,0.1500,1474,1485.65,1485.65
1,2000,0.2000,1963,1994.61,1994.61
1,2500,0.2500,2448,2490.02,2490.02
1,3000,0.3000,2937,2948.11,2948.11
1,3500,0.3500,3432,3389.87,3389.87
1,4000,0.4000,3929,3856.79,3856.79
1,4500,0.4500,4413,4235.86,4235.86
1,5000,0.5000,4904,4777.43,4777.43
1,5500,0.5500,5384,5203.88,5203.88
1,6000,0.6000,5862,5771.76,5771.76
1,6500,0.6500,6345,6131.82,6131.82
1,7000,0.7000,6825,6839.31,6839.31
1,7500,0.7500,7306,7346.64,7346.64
1,8000,0.8000,7786,7796.46,7796.46
1,8500,0.8500,8266,8274.04,8274.04
1,9000,0.9000,8752,8674.63,8674.63
1,9500,0.9500,9226,9166.19,9166.19
1,10000,1.0000,9705,9596.35,9596.35
2,500,0.0500,499,499.04,499.04
2,1000,0.1000,989,975.45,975.45
2,1500,0.1500,1483,1447.96,1447.96
2,2000,0.2000,1970,1973.79,1973.79
2,2500,0.2500,2459,2536.58,2536.58
2,3000,0.3000,2946,2852.40,2852.40
2,3500,0.3500,3431,3283.60,3283.60
2,4000,0.4000,3915,3677.58,3677.58
2,4500,0.4500,4401,4081.31,4081.31
2,5000,0.5000,4887,4561.44,4561.44
2,5500,0.5500,5375,4992.67,4992.67
2,6000,0.6000,5858,5425.41,5425.41
2,6500,0.6500,6340,5941.06,5941.06
2,7000,0.7000,6825,6564.08,6564.08
2,7500,0.7500,7313,7047.95,7047.95
2,8000,0.8000,7794,7604.28,7604.28
2,8500,0.8500,8268,8016.03,8016.03
2,9000,0.9000,8749,8511.55,8511.55
2,9500,0.9500,9230,9051.69,9051.69
2,10000,1.0000,9711,9268.12,9268.12
3,500,0.0500,495,482.88,482.88
3,1000,0.1000,991,1012.40,1012.40
3,1500,0.1500,1479,1468.73,1468.73
3,2000,0.2000,1971,1987.62,1987.62
3,2500,0.2500,2466,2467.52,2467.52
3,3000,0.3000,2953,2948.70,2948.70
3,3500,0.3500,3440,3395.92,3395.92
3,4000,0.4000,3928,3820.26,3820.26
3,4500,0.4500,4421,4394.83,4394.83
3,5000,0.5000,4900,4892.74,4892.74
3,5500,0.5500,5387,5329.40,5329.40
3,6000,0.6000,5877,5884.04,5884.04
3,6500,0.6500,6353,6479.52,6479.52
3,7000,0.7000,6834,6970.53,6970.53
3,7500,0.7500,7306,7461.26,7461.26
3,8000,0.8000,7791,7872.25,7872.25
3,8500,0.8500,8275,8383.36,8383.36
3,9000,0.9000,8762,9102.92,9102.92
3,9500,0.9500,9249,9584.41,9584.41
3,10000,1.0000,9733,10058.54,10058.54
4,500,0.0500,495,500.67,500.67
4,1000,0.1000,988,978.04,978.04
4,1500,0.1500,1477,1507.21,1507.21
4,2000,0.2000,1965,1966.94,1966.94
4,2500,0.2500,2451,2382.13,2382.13
4,3000,0.3000,2933,2853.58,2853.58
4,3500,0.3500,3419,3278.32,3278.32
4,4000,0.4000,3904,3763.74,3763.74
4,4500,0.4500,4383,4221.20,4221.20
4,5000,0.5000,4865,4635.80,4635.80
4,5500,0.5500,5353,5147.92,5147.92
4,6000,0.6000,5836,5634.81,5634.81
4,6500,0.6500,6320,6107.05,6107.05
4,7000,0.7000,6800,6664.46,6664.46
4,7500,0.7500,7277,7065.10,7065.10
4,8000,0.8000,7761,7588.28,7588.28
4,8500,0.8500,8247,8238.38,8238.38
4,9000,0.9000,8726,8615.00,8615.00
4,9500,0.9500,9206,9150.55,9150.55
4,10000,1.0000,9683,9692.79,9692.79
5,500,0.0500,500,497.41,497.41
5,1000,0.1000,994,1031.39,1031.39
5,1500,0.1500,1490,1507.21,1507.21
5,2000,0.2000,1979,2015.87,2015.87
5,2500,0.2500,2470,2560.83,2560.83
5,3000,0.3000,2953,2983.85,2983.85
5,3500,0.3500,3441,3441.48,3441.48
5,4000,0.4000,3924,3886.64,3886.64
5,4500,0.4500,4419,4353.52,4353.52
5,5000,0.5000,4905,4761.10,4761.10
5,5500,0.5500,5393,5234.15,5234.15
5,6000,0.6000,5879,5729.84,5729.84
5,6500,0.6500,6365,6409.36,6409.36
5,7000,0.7000,6843,6885.98,6885.98
5,7500,0.7500,7326,7427.39,7427.39
5,8000,0.8000,7812,7810.15,7810.15
5,8500,0.8500,8290,8308.62,8308.62
5,9000,0.9000,8768,8709.34,8709.34
5,9500,0.9500,9251,9119.36,9119.36
5,10000,1.0000,9736,9627.52,9627.52
6,500,0.0500,499,492.55,492.55
6,1000,0.1000,993,983.26,983.26
6,1500,0.1500,1487,1464.54,1464.54
6,2000,0.2000,1974,1966.94,1966.94
6,2500,0.2500,2451,2605.82,2605.82
6,3000,0.3000,2944,3072.45,3072.45
6,3500,0.3500,3433,3545.50,3545.50
6,4000,0.4000,3922,4111.81,4111.81
6,4500,0.4500,4407,4578.47,4578.47
6,5000,0.5000,4883,5036.19,5036.19
6,5500,0.5500,5366,5528.97,5528.97
6,6000,0.6000,5857,5950.38,5950.38
6,6500,0.6500,6337,6348.10,6348.10
6,7000,0.7000,6820,6888.42,6888.42
6,7500,0.7500,7298,7278.95,7278.95
6,8000,0.8000,7783,7600.00,7600.00
6,8500,0.8500,8272,8087.86,8087.86
6,9000,0.9000,8755,8558.46,8558.46
6,9500,0.9500,9240,8995.71,8995.71
6,10000,1.0000,9713,9542.14,9542.14
7,500,0.0500,500,512.14,512.14
7,1000,0.1000,999,1017.79,1017.79
7,1500,0.1500,1491,1529.23,1529.23
7,2000,0.2000,1976,2074.83,2074.83
7,2500,0.2500,2466,2585.35,2585.35
7,3000,0.3000,2955,2978.02,2978.02
7,3500,0.3500,3443,3439.27,3439.27
7,4000,0.4000,3929,3887.67,3887.67
7,4500,0.4500,4402,4313.22,4313.22
7,5000,0.5000,4870,4786.73,4786.73
7,5500,0.5500,5356,5367.78,5367.78
7,6000,0.6000,5834,5773.47,5773.47
7,6500,0.6500,6319,6228.76,6228.76
7,7000,0.7000,6801,6695.35,6695.35
7,7500,0.7500,7276,7291.66,7291.66
7,8000,0.8000,7760,7781.17,7781.17
7,8500,0.8500,8242,8288.95,8288.95
7,9000,0.9000,8729,8612.45,8612.45
7,9500,0.9500,9214,9100.33,9100.33
7,10000,1.0000,9701,9512.71,9512.71
8,500,0.0500,497,505.57,505.57
8,1000,0.1000,990,978.04,978.04
8,1500,0.1500,1487,1533.70,1533.70
8,2000,0.2000,1976,2008.74,2008.74
8,2500,0.2500,2458,2591.97,2591.97
8,3000,0.3000,2938,3037.57,3037.57
8,3500,0.3500,3427,3582.26,3582.26
8,4000,0.4000,3910,4022.54,4022.54
8,4500,0.4500,4394,4447.82,4447.82
8,5000,0.5000,4875,4980.76,4980.76
8,5500,0.5500,5362,5437.81,5437.81
8,6000,0.6000,5852,5942.93,5942.93
8,6500,0.6500,6335,6507.17,6507.17
8,7000,0.7000,6821,6925.02,6925.02
8,7500,0.7500,7308,7433.47,7433.47
8,8000,0.8000,7786,7951.69,7951.69
8,8500,0.8500,8269,8416.03,8416.03
8,9000,0.9000,8753,8918.76,8918.76
8,9500,0.9500,9237,9485.68,9485.68
8,10000,1.0000,9718,9900.32,9900.32
9,500,0.0500,496,484.49,484.49
9,1000,0.1000,989,939.78,939.78
9,1500,0.1500,1482,1456.21,1456.21
9,2000,0.2000,1974,1926.77,1926.77
9,2500,0.2500,2461,2402.82,2402.82
9,3000,0.3000,2954,3026.71,3026.71
9,3500,0.3500,3447,3542.77,3542.77
9,4000,0.4000,3934,4024.98,4024.98
9,4500,0.4500,4424,4594.73,4594.73
9,5000,0.5000,4910,5162.68,5162.68
9,5500,0.5500,5396,5589.04,5589.04
9,6000,0.6000,5881,6114.36,6114.36
9,6500,0.6500,6362,6454.09,6454.09
9,7000,0.7000,6850,6799.88,6799.88
9,7500,0.7500,7337,7284.41,7284.41
9,8000,0.8000,7824,7882.44,7882.44
9,8500,0.8500,8308,8356.32,8356.32
9,9000,0.9000,8784,8763.71,8763.71
9,9500,0.9500,9266,9376.10,9376.10
9,10000,1.0000,9747,9725.93,9725.93
10,500,0.0500,497,505.57,505.57
10,1000,0.1000,989,1009.72,1009.72
10,1500,0.1500,1486,1494.22,1494.22
10,2000,0.2000,1977,2137.38,2137.38
10,2500,0.2500,2460,2564.94,2564.94
10,3000,0.3000,2948,3068.99,3068.99
10,3500,0.3500,3432,3470.34,3470.34
10,4000,0.4000,3916,3948.76,3948.76
10,4500,0.4500,4401,4322.14,4322.14
10,5000,0.5000,4879,4895.18,4895.18
10,5500,0.5500,5365,5446.68,5446.68
10,6000,0.6000,5849,5889.78,5889.78
10,6500,0.6500,6339,6406.25,6406.25
10,7000,0.7000,6822,6817.16,6817.16
10,7500,0.7500,7309,7393.59,7393.59
10,8000,0.8000,7786,7800.72,7800.72
10,8500,0.8500,8275,8296.79,8296.79
10,9000,0.9000,8762,8704.73,8704.73
10,9500,0.9500,9243,9165.47,9165.47
10,10000,1.0000,9724,9466.94,9466.94
11,500,0.0500,496,510.50,510.50
11,1000,0.1000,990,985.87,985.87
11,1500,0.1500,1480,1452.08,1452.08
11,2000,0.2000,1973,1894.47,1894.47
11,2500,0.2500,2455,2456.45,2456.45
