stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,500,0.0500,499,367.55,367.55
0,1000,0.1000,992,1168.36,1168.36
0,1500,0.1500,1483,1712.58,1712.58
0,2000,0.2000,1970,2229.23,2229.23
0,2500,0.2500,2460,2462.61,2462.61
0,3000,0.3000,2951,3351.46,3351.46
0,3500,0.3500,3437,3627.07,3627.07
0,4000,0.4000,3925,3627.07,3627.07
0,4500,0.4500,4407,4766.17,4766.17
0,5000,0.5000,4892,7052.51,7052.51
0,5500,0.5500,5377,7052.51,7052.51
0,6000,0.6000,5864,7052.51,7052.51
0,6500,0.6500,6351,7052.51,7052.51
0,7000,0.7000,6832,8495.91,8495.91
0,7500,0.7500,7318,8495.91,8495.91
0,8000,0.8000,7801,9401.39,9401.39
0,8500,0.8500,8282,9401.39,9401.39
0,9000,0.9000,8765,9401.39,9401.39
0,9500,0.9500,9238,10522.90,10522.90
0,10000,1.0000,9714,10682.18,10682.18
1,500,0.0500,499,504.07,504.07
1,1000,0.1000,988,840.11,840.11
1,1500,0.1500,1474,1389.16,1389.16
1,2000,0.2000,1963,1854.64,1854.64
1,2500,0.2500,2448,2340.60,2340.60
1,3000,0.3000,2937,2996.57,2996.57
1,3500,0.3500,3432,3467.77,3467.77
1,4000,0.4000,3929,3467.77,3467.77
1,4500,0.4500,4413,4021.04,4021.04
1,5000,0.5000,4904,4114.82,4114.82
1,5500,0.5500,5384,4720.35,4720.35
1,6000,0.6000,5862,4720.35,4720.35
1,6500,0.6500,6345,4784.35,4784.35
1,7000,0.7000,6825,6329.07,6329.07
1,7500,0.7500,7306,6504.07,6504.07
1,8000,0.8000,7786,7629.10,7629.10
1,8500,0.8500,8266,7776.22,7776.22
1,9000,0.9000,8752,7776.22,7776.22
1,9500,0.9500,9226,9316.06,9316.06
1,10000,1.0000,9705,9316.06,9316.06
2,500,0.0500,499,487.02,487.02
2,1000,0.1000,989,1042.38,1042.38
2,1500,0.1500,1483,2212.20,2212.20
2,2000,0.2000,1970,2683.24,2683.24
2,2500,0.2500,2459,3313.11,3313.11
2,3000,0.3000,2946,3856.24,3856.24
2,3500,0.3500,3431,3856.24,3856.24
2,4000,0.4000,3915,4673.45,4673.45
2,4500,0.4500,4401,4673.45,4673.45
2,5000,0.5000,4887,4934.91,4934.91
2,5500,0.5500,5375,5556.63,5556.63
2,6000,0.6000,5858,5556.63,5556.63
2,6500,0.6500,6340,5556.63,5556.63
2,7000,0.7000,6825,6136.45,6136.45
2,7500,0.7500,7313,6136.45,6136.45
2,8000,0.8000,7794,7128.20,7128.20
2,8500,0.8500,8268,7128.20,7128.20
2,9000,0.9000,8749,7428.33,7428.33
2,9500,0.9500,9230,7754.85,7754.85
2,10000,1.0000,9711,7754.85,7754.85
3,500,0.0500,495,344.58,344.58
3,1000,0.1000,991,621.21,621.21
3,1500,0.1500,1479,996.74,996.74
3,2000,0.2000,1971,1120.03,1120.03
3,2500,0.2500,2466,1149.22,1149.22
3,3000,0.3000,2953,1331.34,1331.34
3,3500,0.3500,3440,1514.16,1514.16
3,4000,0.4000,3928,1827.92,1827.92
3,4500,0.4500,4421,2367.60,2367.60
3,5000,0.5000,4900,2970.55,2970.55
3,5500,0.5500,5387,3645.81,3645.81
3,6000,0.6000,5877,4985.02,4985.02
3,6500,0.6500,6353,4985.02,4985.02
3,7000,0.7000,6834,4985.02,4985.02
3,7500,0.7500,7306,4985.02,4985.02
3,8000,0.8000,7791,5127.64,5127.64
3,8500,0.8500,8275,5361.38,5361.38
3,9000,0.9000,8762,6810.05,6810.05
3,9500,0.9500,9249,6810.05,6810.05
3,10000,1.0000,9733,7083.48,7083.48
4,500,0.0500,495,572.34,572.34
4,1000,0.1000,988,881.01,881.01
4,1500,0.1500,1477,1314.14,1314.14
4,2000,0.2000,1965,2313.74,2313.74
4,2500,0.2500,2451,2880.37,2880.37
4,3000,0.3000,2933,2880.37,2880.37
4,3500,0.3500,3419,3618.93,3618.93
4,4000,0.4000,3904,3618.93,3618.93
4,4500,0.4500,4383,4126.85,4126.85
4,5000,0.5000,4865,4126.85,4126.85
4,5500,0.5500,5353,7092.38,7092.38
4,6000,0.6000,5836,7797.70,7797.70
4,6500,0.6500,6320,8158.28,8158.28
4,7000,0.7000,6800,8158.28,8158.28
4,7500,0.7500,7277,8766.36,8766.36
4,8000,0.8000,7761,8766.36,8766.36
4,8500,0.8500,8247,10302.07,10302.07
4,9000,0.9000,8726,10302.07,10302.07
4,9500,0.9500,9206,10302.07,10302.07
4,10000,1.0000,9683,10302.07,10302.07
5,500,0.0500,500,512.86,512.86
5,1000,0.1000,994,1138.21,1138.21
