stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,500,0.0500,499,502.18,502.18
0,1000,0.1000,992,1002.77,1002.77
0,1500,0.1500,1483,1640.26,1640.26
0,2000,0.2000,1970,2319.38,2319.38
0,2500,0.2500,2460,2842.55,2842.55
0,3000,0.3000,2951,3540.26,3540.26
0,3500,0.3500,3437,4099.55,4099.55
0,4000,0.4000,3925,4588.47,4588.47
0,4500,0.4500,4407,5296.32,5296.32
0,5000,0.5000,4892,5790.69,5790.69
0,5500,0.5500,5377,6145.63,6145.63
0,6000,0.6000,5864,6598.67,6598.67
0,6500,0.6500,6351,7040.07,7040.07
0,7000,0.7000,6832,7776.00,7776.00
0,7500,0.7500,7318,8482.05,8482.05
0,8000,0.8000,7801,9094.80,9094.80
0,8500,0.8500,8282,10031.21,10031.21
0,9000,0.9000,8765,10153.76,10153.76
0,9500,0.9500,9238,10827.75,10827.75
0,10000,1.0000,9714,11110.40,11110.40
1,500,0.0500,499,481.69,481.69
1,1000,0.1000,988,962.98,962.98
1,1500,0.1500,1474,1317.78,1317.78
1,2000,0.2000,1963,1686.02,1686.02
1,2500,0.2500,2448,2128.09,2128.09
1,3000,0.3000,2937,2757.79,2757.79
1,3500,0.3500,3432,3234.06,3234.06
1,4000,0.4000,3929,3755.66,3755.66
1,4500,0.4500,4413,4315.69,4315.69
1,5000,0.5000,4904,4786.20,4786.20
1,5500,0.5500,5384,5280.94,5280.94
1,6000,0.6000,5862,5894.07,5894.07
1,6500,0.6500,6345,6189.22,6189.22
1,7000,0.7000,6825,6819.69,6819.69
1,7500,0.7500,7306,7164.31,7164.31
1,8000,0.8000,7786,7679.04,7679.04
1,8500,0.8500,8266,8259.29,8259.29
1,9000,0.9000,8752,8613.51,8613.51
1,9500,0.9500,9226,9404.63,9404.63
1,10000,1.0000,9705,9766.68,9766.68
2,500,0.0500,499,509.40,509.40
2,1000,0.1000,989,1037.24,1037.24
2,1500,0.1500,1483,1556.73,1556.73
2,2000,0.2000,1970,1890.00,1890.00
2,2500,0.2500,2459,2395.03,2395.03
2,3000,0.3000,2946,2817.87,2817.87
2,3500,0.3500,3431,3351.12,3351.12
2,4000,0.4000,3915,3891.53,3891.53
2,4500,0.4500,4401,4292.82,4292.82
2,5000,0.5000,4887,4788.34,4788.34
2,5500,0.5500,5375,5339.74,5339.74
2,6000,0.6000,5858,5612.36,5612.36
2,6500,0.6500,6340,6256.30,6256.30
2,7000,0.7000,6825,6566.53,6566.53
2,7500,0.7500,7313,7154.22,7154.22
2,8000,0.8000,7794,7773.81,7773.81
2,8500,0.8500,8268,8094.96,8094.96
2,9000,0.9000,8749,8315.61,8315.61
2,9500,0.9500,9230,8755.13,8755.13
2,10000,1.0000,9711,8910.50,8910.50
3,500,0.0500,495,433.93,433.93
3,1000,0.1000,991,1003.79,1003.79
3,1500,0.1500,1479,1490.84,1490.84
3,2000,0.2000,1971,1970.20,1970.20
3,2500,0.2500,2466,2390.79,2390.79
3,3000,0.3000,2953,2845.52,2845.52
