stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,5000,0.0500,4892,5018.68,5018.68
0,10000,0.1000,9714,10240.73,10240.73
0,15000,0.1500,14506,14768.57,14768.57
0,20000,0.2000,19313,19230.96,19230.96
0,25000,0.2500,24129,24548.44,24548.44
0,30000,0.3000,28920,29319.61,29319.61
0,35000,0.3500,33691,34374.56,34374.56
0,40000,0.4000,38466,39207.53,39207.53
0,45000,0.4500,43241,44692.83,44692.83
0,50000,0.5000,48041,48410.08,48410.08
0,55000,0.5500,52843,53327.69,53327.69
0,60000,0.6000,57592,58869.56,58869.56
0,65000,0.6500,62361,62881.21,62881.21
0,70000,0.7000,67132,68327.72,68327.72
0,75000,0.7500,71896,72647.22,72647.22
0,80000,0.8000,76670,77302.22,77302.22
0,85000,0.8500,81412,83198.63,83198.63
0,90000,0.9000,86143,87612.64,87612.64
0,95000,0.9500,90878,91552.33,91552.33
0,100000,1.0000,95597,95595.02,95595.02
1,5000,0.0500,4904,4777.43,4777.43
1,10000,0.1000,9705,9596.35,9596.35
1,15000,0.1500,14548,14593.09,14593.09
1,20000,0.2000,19375,19999.19,19999.19
1,25000,0.2500,24193,25044.60,25044.60
1,30000,0.3000,28984,29321.25,29321.25
1,35000,0.3500,33787,34026.72,34026.72
1,40000,0.4000,38579,38641.91,38641.91
1,45000,0.4500,43366,42299.94,42299.94
1,50000,0.5000,48117,46861.36,46861.36
1,55000,0.5500,52885,51813.23,51813.23
1,60000,0.6000,57640,55351.47,55351.47
1,65000,0.6500,62406,59839.72,59839.72
1,70000,0.7000,67188,65724.44,65724.44
1,75000,0.7500,71949,70518.43,70518.43
1,80000,0.8000,76681,74989.43,74989.43
1,85000,0.8500,81423,80042.33,80042.33
1,90000,0.9000,86149,86043.85,86043.85
1,95000,0.9500,90867,90816.81,90816.81
1,100000,1.0000,95633,94762.91,94762.91
2,5000,0.0500,4887,4561.44,4561.44
2,10000,0.1000,9711,9268.12,9268.12
2,15000,0.1500,14509,13430.57,13430.57
2,20000,0.2000,19307,17917.30,17917.30
2,25000,0.2500,24118,22858.78,22858.78
2,30000,0.3000,28907,26814.97,26814.97
2,35000,0.3500,33722,32057.90,32057.90
2,40000,0.4000,38506,36835.21,36835.21
2,45000,0.4500,43295,43162.56,43162.56
2,50000,0.5000,48080,48119.20,48119.20
2,55000,0.5500,52871,52592.31,52592.31
2,60000,0.6000,57641,58497.40,58497.40
2,65000,0.6500,62399,62899.35,62899.35
2,70000,0.7000,67154,66550.79,66550.79
2,75000,0.7500,71941,70760.54,70760.54
2,80000,0.8000,76698,74426.13,74426.13
2,85000,0.8500,81420,78860.15,78860.15
2,90000,0.9000,86156,82852.02,82852.02
2,95000,0.9500,90908,88871.31,88871.31
2,100000,1.0000,95617,94071.30,94071.30
3,5000,0.0500,4900,4892.74,4892.74
3,10000,0.1000,9733,10058.54,10058.54
3,15000,0.1500,14540,15301.41,15301.41
3,20000,0.2000,19364,19565.56,19565.56
3,25000,0.2500,24183,24022.26,24022.26
3,30000,0.3000,28978,29120.19,29120.19
3,35000,0.3500,33759,33850.63,33850.63
3,40000,0.4000,38547,38659.67,38659.67
3,45000,0.4500,43337,42720.97,42720.97
3,50000,0.5000,48093,46881.70,46881.70
3,55000,0.5500,52877,50213.10,50213.10
3,60000,0.6000,57656,54208.03,54208.03
3,65000,0.6500,62407,58314.15,58314.15
3,70000,0.7000,67181,62798.99,62798.99
3,75000,0.7500,71947,69658.95,69658.95
3,80000,0.8000,76694,74688.49,74688.49
3,85000,0.8500,81460,79458.73,79458.73
3,90000,0.9000,86200,84288.62,84288.62
3,95000,0.9500,90948,89329.78,89329.78
3,100000,1.0000,95689,93608.47,93608.47
4,5000,0.0500,4865,4635.80,4635.80
4,10000,0.1000,9683,9692.79,9692.79
4,15000,0.1500,14496,14677.21,14677.21
4,20000,0.2000,19300,19446.87,19446.87
4,25000,0.2500,24093,23828.78,23828.78
4,30000,0.3000,28911,28196.28,28196.28
4,35000,0.3500,33682,33054.53,33054.53
4,40000,0.4000,38461,37829.24,37829.24
4,45000,0.4500,43252,42324.11,42324.11
4,50000,0.5000,48042,46782.30,46782.30
4,55000,0.5500,52803,52302.65,52302.65
4,60000,0.6000,57598,58244.04,58244.04
4,65000,0.6500,62359,62520.04,62520.04
4,70000,0.7000,67134,67714.28,67714.28
4,75000,0.7500,71901,73904.47,73904.47
4,80000,0.8000,76658,77729.28,77729.28
4,85000,0.8500,81397,82905.98,82905.98
4,90000,0.9000,86152,88004.93,88004.93
4,95000,0.9500,90897,91746.26,91746.26
4,100000,1.0000,95630,97432.28,97432.28
5,5000,0.0500,4905,4761.10,4761.10
5,10000,0.1000,9736,9627.52,9627.52
5,15000,0.1500,14562,15221.95,15221.95
5,20000,0.2000,19384,19555.64,19555.64
5,25000,0.2500,24207,24824.77,24824.77
5,30000,0.3000,29024,29316.86,29316.86
5,35000,0.3500,33803,34571.85,34571.85
5,40000,0.4000,38601,39063.63,39063.63
