stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,25000,0.0500,24129,25053.25,25053.25
0,50000,0.1000,48041,48831.16,48831.16
0,75000,0.1500,71896,67686.71,67686.71
0,100000,0.2000,95597,93531.74,93531.74
0,125000,0.2500,119236,123639.39,123639.39
0,150000,0.3000,142814,142021.58,142021.58
0,175000,0.3500,166327,170933.07,170933.07
0,200000,0.4000,189828,212678.67,212678.67
0,225000,0.4500,213293,232419.14,232419.14
0,250000,0.5000,236750,258252.67,258252.67
0,275000,0.5500,260182,286240.53,286240.53
0,300000,0.6000,283569,309315.42,309315.42
0,325000,0.6500,306916,342487.63,342487.63
0,350000,0.7000,330271,365841.36,365841.36
0,375000,0.7500,353602,384958.02,384958.02
0,400000,0.8000,376984,423423.44,423423.44
0,425000,0.8500,400301,453153.73,453153.73
0,450000,0.9000,423633,482646.74,482646.74
0,475000,0.9500,446921,517805.77,517805.77
0,500000,1.0000,470231,550713.13,550713.13
1,25000,0.0500,24193,26121.24,26121.24
1,50000,0.1000,48117,46053.93,46053.93
1,75000,0.1500,71949,65326.39,65326.39
1,100000,0.2000,95633,90272.72,90272.72
1,125000,0.2500,119288,115629.17,115629.17
1,150000,0.3000,142874,137464.71,137464.71
1,175000,0.3500,166451,164252.37,164252.37
1,200000,0.4000,189940,194015.61,194015.61
1,225000,0.4500,213411,209198.40,209198.40
1,250000,0.5000,236810,237769.66,237769.66
1,275000,0.5500,260190,274674.69,274674.69
1,300000,0.6000,283601,301403.33,301403.33
1,325000,0.6500,306946,327062.67,327062.67
1,350000,0.7000,330230,344483.49,344483.49
1,375000,0.7500,353616,365719.38,365719.38
1,400000,0.8000,376878,392023.74,392023.74
1,425000,0.8500,400178,419077.07,419077.07
1,450000,0.9000,423430,436140.39,436140.39
1,475000,0.9500,446734,448504.96,448504.96
1,500000,1.0000,470037,467679.07,467679.07
2,25000,0.0500,24118,20896.69,20896.69
2,50000,0.1000,48080,44334.93,44334.93
2,75000,0.1500,71941,67731.30,67731.30
2,100000,0.2000,95617,93316.72,93316.72
2,125000,0.2500,119300,119948.57,119948.57
2,150000,0.3000,142937,144643.53,144643.53
2,175000,0.3500,166504,164548.61,164548.61
2,200000,0.4000,189991,190605.95,190605.95
2,225000,0.4500,213512,216260.59,216260.59
2,250000,0.5000,236905,242880.74,242880.74
2,275000,0.5500,260330,274229.85,274229.85
2,300000,0.6000,283711,295875.71,295875.71
2,325000,0.6500,307073,324475.12,324475.12
2,350000,0.7000,330376,332125.42,332125.42
2,375000,0.7500,353745,366753.35,366753.35
2,400000,0.8000,377022,388263.19,388263.19
2,425000,0.8500,400386,416574.75,416574.75
2,450000,0.9000,423702,438856.76,438856.76
2,475000,0.9500,446966,457503.04,457503.04
2,500000,1.0000,470195,484511.01,484511.01
3,25000,0.0500,24183,24326.58,24326.58
3,50000,0.1000,48093,46140.72,46140.72
3,75000,0.1500,71947,70452.52,70452.52
3,100000,0.2000,95689,94396.77,94396.77
3,125000,0.2500,119264,116937.50,116937.50
3,150000,0.3000,142787,136338.15,136338.15
3,175000,0.3500,166335,163564.93,163564.93
3,200000,0.4000,189787,190550.03,190550.03
3,225000,0.4500,213236,212174.03,212174.03
3,250000,0.5000,236607,235920.64,235920.64
3,275000,0.5500,260044,254099.40,254099.40
