stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
6,90000,0.9000,85996,82175.68,82175.68
6,95000,0.9500,90716,87948.15,87948.15
6,100000,1.0000,95444,95364.84,95364.84
7,5000,0.0500,4870,4960.62,4960.62
7,10000,0.1000,9701,9699.38,9699.38
7,15000,0.1500,14511,14087.00,14087.00
7,20000,0.2000,19320,20239.15,20239.15
7,25000,0.2500,24129,24669.74,24669.74
7,30000,0.3000,28906,29733.31,29733.31
7,35000,0.3500,33699,34764.68,34764.68
7,40000,0.4000,38511,38793.15,38793.15
7,45000,0.4500,43281,42771.04,42771.04
7,50000,0.5000,48061,47142.31,47142.31
7,55000,0.5500,52868,52055.15,52055.15
7,60000,0.6000,57632,57365.47,57365.47
7,65000,0.6500,62396,59923.90,59923.90
7,70000,0.7000,67177,64461.31,64461.31
7,75000,0.7500,71917,69818.32,69818.32
7,80000,0.8000,76684,77105.62,77105.62
7,85000,0.8500,81432,88137.86,88137.86
7,90000,0.9000,86164,91668.25,91668.25
7,95000,0.9500,90900,94637.85,94637.85
7,100000,1.0000,95637,100606.82,100606.82
8,5000,0.0500,4875,4789.59,4789.59
8,10000,0.1000,9718,9497.55,9497.55
8,15000,0.1500,14541,14318.27,14318.27
8,20000,0.2000,19353,18864.09,18864.09
8,25000,0.2500,24176,22565.37,22565.37
8,30000,0.3000,28982,29429.88,29429.88
8,35000,0.3500,33779,33823.32,33823.32
8,40000,0.4000,38567,41333.37,41333.37
8,45000,0.4500,43362,48102.49,48102.49
8,50000,0.5000,48149,51309.06,51309.06
8,55000,0.5500,52933,55384.24,55384.24
8,60000,0.6000,57702,61038.71,61038.71
8,65000,0.6500,62459,66318.92,66318.92
8,70000,0.7000,67234,69623.72,69623.72
8,75000,0.7500,71991,76139.83,76139.83
8,80000,0.8000,76741,78288.47,78288.47
8,85000,0.8500,81507,86006.23,86006.23
8,90000,0.9000,86278,90859.64,90859.64
8,95000,0.9500,91001,93108.30,93108.30
8,100000,1.0000,95754,94062.18,94062.18
9,5000,0.0500,4910,5001.91,5001.91
9,10000,0.1000,9747,9922.16,9922.16
9,15000,0.1500,14575,16029.08,16029.08
9,20000,0.2000,19355,20310.20,20310.20
9,25000,0.2500,24160,25244.32,25244.32
9,30000,0.3000,28959,30436.25,30436.25
9,35000,0.3500,33745,36041.75,36041.75
9,40000,0.4000,38528,40984.13,40984.13
9,45000,0.4500,43299,45043.76,45043.76
9,50000,0.5000,48082,49860.31,49860.31
9,55000,0.5500,52863,56533.15,56533.15
9,60000,0.6000,57613,61836.42,61836.42
9,65000,0.6500,62376,69680.33,69680.33
9,70000,0.7000,67151,74499.68,74499.68
9,75000,0.7500,71893,81104.12,81104.12
9,80000,0.8000,76651,86179.21,86179.21
9,85000,0.8500,81407,87469.37,87469.37
9,90000,0.9000,86147,92752.78,92752.78
9,95000,0.9500,90883,99785.14,99785.14
9,100000,1.0000,95619,105102.12,105102.12
10,5000,0.0500,4879,4447.95,4447.95
10,10000,0.1000,9724,9091.77,9091.77
10,15000,0.1500,14561,14346.44,14346.44
10,20000,0.2000,19375,21243.19,21243.19
10,25000,0.2500,24182,25281.35,25281.35
10,30000,0.3000,28989,30784.00,30784.00
10,35000,0.3500,33766,35259.48,35259.48
10,40000,0.4000,38525,39866.09,39866.09
10,45000,0.4500,43281,45490.11,45490.11
10,50000,0.5000,48055,48826.52,48826.52
10,55000,0.5500,52865,52221.91,52221.91
10,60000,0.6000,57630,55945.69,55945.69
10,65000,0.6500,62366,60189.59,60189.59
10,70000,0.7000,67099,63395.61,63395.61
10,75000,0.7500,71837,66460.37,66460.37
10,80000,0.8000,76603,72864.97,72864.97
10,85000,0.8500,81325,77492.02,77492.02
10,90000,0.9000,86080,80736.38,80736.38
10,95000,0.9500,90789,83670.64,83670.64
10,100000,1.0000,95485,86679.84,86679.84
11,5000,0.0500,4880,4532.06,4532.06
11,10000,0.1000,9703,8894.44,8894.44
11,15000,0.1500,14504,13785.79,13785.79
11,20000,0.2000,19326,18743.29,18743.29
11,25000,0.2500,24124,23049.91,23049.91
11,30000,0.3000,28919,26707.25,26707.25
11,35000,0.3500,33706,32294.38,32294.38
11,40000,0.4000,38486,41452.15,41452.15
11,45000,0.4500,43246,45433.75,45433.75
11,50000,0.5000,48029,53944.02,53944.02
11,55000,0.5500,52806,57137.17,57137.17
11,60000,0.6000,57563,59832.23,59832.23
11,65000,0.6500,62301,63133.38,63133.38
11,70000,0.7000,67084,66435.86,66435.86
11,75000,0.7500,71830,75575.35,75575.35
11,80000,0.8000,76600,78964.55,78964.55
11,85000,0.8500,81389,82530.45,82530.45
11,90000,0.9000,86146,88001.78,88001.78
11,95000,0.9500,90854,91990.45,91990.45
11,100000,1.0000,95593,101157.33,101157.33
12,5000,0.0500,4903,4840.39,4840.39
12,10000,0.1000,9733,8587.83,8587.83
12,15000,0.1500,14560,12537.60,12537.60
