stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,25000,0.0500,24129,19984.19,19984.19
0,50000,0.1000,48041,39617.78,39617.78
0,75000,0.1500,71896,69697.94,69697.94
0,100000,0.2000,95597,86854.36,86854.36
0,125000,0.2500,119236,121409.32,121409.32
0,150000,0.3000,142814,132836.07,132836.07
0,175000,0.3500,166327,173708.71,173708.71
0,200000,0.4000,189828,180657.06,180657.06
0,225000,0.4500,213293,191374.01,191374.01
0,250000,0.5000,236750,245457.96,245457.96
0,275000,0.5500,260182,262582.94,262582.94
0,300000,0.6000,283569,262582.94,262582.94
0,325000,0.6500,306916,288589.56,288589.56
0,350000,0.7000,330271,302102.11,302102.11
0,375000,0.7500,353602,302102.11,302102.11
0,400000,0.8000,376984,384376.73,384376.73
0,425000,0.8500,400301,384376.73,384376.73
0,450000,0.9000,423633,384376.73,384376.73
0,475000,0.9500,446921,391032.60,391032.60
0,500000,1.0000,470231,436369.71,436369.71
1,25000,0.0500,24193,32633.14,32633.14
1,50000,0.1000,48117,63432.96,63432.96
1,75000,0.1500,71949,109622.00,109622.00
1,100000,0.2000,95633,120760.07,120760.07
1,125000,0.2500,119288,160156.97,160156.97
1,150000,0.3000,142874,167275.06,167275.06
1,175000,0.3500,166451,183594.58,183594.58
1,200000,0.4000,189940,236462.12,236462.12
1,225000,0.4500,213411,236462.12,236462.12
1,250000,0.5000,236810,246799.26,246799.26
1,275000,0.5500,260190,252314.33,252314.33
1,300000,0.6000,283601,252314.33,252314.33
1,325000,0.6500,306946,270444.70,270444.70
1,350000,0.7000,330230,270444.70,270444.70
1,375000,0.7500,353616,270444.70,270444.70
1,400000,0.8000,376878,280523.39,280523.39
1,425000,0.8500,400178,370198.90,370198.90
1,450000,0.9000,423430,370198.90,370198.90
1,475000,0.9500,446734,451642.65,451642.65
1,500000,1.0000,470037,456204.70,456204.70
2,25000,0.0500,24118,14256.40,14256.40
2,50000,0.1000,48080,25091.26,25091.26
2,75000,0.1500,71941,86854.36,86854.36
2,100000,0.2000,95617,86854.36,86854.36
2,125000,0.2500,119300,100813.09,100813.09
2,150000,0.3000,142937,128307.57,128307.57
2,175000,0.3500,166504,175055.29,175055.29
