stream_id,step,stream_fraction,exact_f0,hll_estimate,hllp_estimate
0,25000,0.0500,24129,24548.44,24548.44
0,50000,0.1000,48041,48410.08,48410.08
0,75000,0.1500,71896,72647.22,72647.22
0,100000,0.2000,95597,95595.02,95595.02
0,125000,0.2500,119236,121835.69,121835.69
0,150000,0.3000,142814,143433.51,143433.51
0,175000,0.3500,166327,164502.55,164502.55
0,200000,0.4000,189828,190484.41,190484.41
0,225000,0.4500,213293,213231.29,213231.29
0,250000,0.5000,236750,239535.32,239535.32
0,275000,0.5500,260182,269963.30,269963.30
0,300000,0.6000,283569,287533.77,287533.77
0,325000,0.6500,306916,311243.01,311243.01
0,350000,0.7000,330271,337857.30,337857.30
0,375000,0.7500,353602,362733.98,362733.98
0,400000,0.8000,376984,396484.65,396484.65
0,425000,0.8500,400301,431937.75,431937.75
0,450000,0.9000,423633,459103.07,459103.07
0,475000,0.9500,446921,487239.08,487239.08
0,500000,1.0000,470231,509499.34,509499.34
1,25000,0.0500,24193,25044.60,25044.60
1,50000,0.1000,48117,46861.36,46861.36
1,75000,0.1500,71949,70518.43,70518.43
1,100000,0.2000,95633,94762.91,94762.91
1,125000,0.2500,119288,119440.04,119440.04
1,150000,0.3000,142874,141478.72,141478.72
1,175000,0.3500,166451,167593.99,167593.99
1,200000,0.4000,189940,191277.09,191277.09
1,225000,0.4500,213411,214665.78,214665.78
1,250000,0.5000,236810,237398.92,237398.92
1,275000,0.5500,260190,261232.16,261232.16
1,300000,0.6000,283601,289503.65,289503.65
1,325000,0.6500,306946,313651.76,313651.76
1,350000,0.7000,330230,337677.01,337677.01
1,375000,0.7500,353616,362136.42,362136.42
1,400000,0.8000,376878,384938.99,384938.99
1,425000,0.8500,400178,409576.04,409576.04
1,450000,0.9000,423430,431893.48,431893.48
1,475000,0.9500,446734,450380.63,450380.63
1,500000,1.0000,470037,473653.87,473653.87
2,25000,0.0500,24118,22858.78,22858.78
2,50000,0.1000,48080,48119.20,48119.20
2,75000,0.1500,71941,70760.54,70760.54
2,100000,0.2000,95617,94071.30,94071.30
2,125000,0.2500,119300,122355.79,122355.79
2,150000,0.3000,142937,146747.96,146747.96
2,175000,0.3500,166504,173754.25,173754.25
2,200000,0.4000,189991,193592.24,193592.24
2,225000,0.4500,213512,216806.24,216806.24
2,250000,0.5000,236905,244859.66,244859.66
2,275000,0.5500,260330,266849.28,266849.28
2,300000,0.6000,283711,290797.30,290797.30
2,325000,0.6500,307073,317808.65,317808.65
2,350000,0.7000,330376,340773.98,340773.98
2,375000,0.7500,353745,372610.84,372610.84
2,400000,0.8000,377022,398842.78,398842.78
2,425000,0.8500,400386,420739.35,420739.35
2,450000,0.9000,423702,442036.21,442036.21
2,475000,0.9500,446966,463711.61,463711.61
2,500000,1.0000,470195,484774.63,484774.63
3,25000,0.0500,24183,24022.26,24022.26
3,50000,0.1000,48093,46881.70,46881.70
3,75000,0.1500,71947,69658.95,69658.95
3,100000,0.2000,95689,93608.47,93608.47
3,125000,0.2500,119264,116138.36,116138.36
3,150000,0.3000,142787,137942.02,137942.02
3,175000,0.3500,166335,160345.79,160345.79
3,200000,0.4000,189787,184368.42,184368.42
3,225000,0.4500,213236,210555.51,210555.51
3,250000,0.5000,236607,230209.47,230209.47
3,275000,0.5500,260044,254737.20,254737.20
3,300000,0.6000,283408,284693.53,284693.53
3,325000,0.6500,306752,306186.97,306186.97
3,350000,0.7000,330094,326583.88,326583.88
3,375000,0.7500,353434,348018.33,348018.33
3,400000,0.8000,376747,368522.07,368522.07
